Cyberbiosecurity and biotechnology security	Records primarily about security issues at the intersection of biology, biotechnology, bioinformatics, AI-designed biological systems, molecular engineering, lab workflows, or cyberbiosecurity risk.
Cybercrime fraud and social engineering	Records primarily about cybercrime ecosystems, scams, fraud operations, social engineering, darknet markets, criminal monetization, victim targeting, scam prevention, or abuse workflows.
Cybersecurity market and vendor strategy	Records primarily about cybersecurity market analysis, vendor strategy, security product positioning, investment commentary, buyer behavior, product communications, or business strategy in the security industry.
Digital forensics preservation and cyber history	Records primarily about digital forensics, historical computing artifacts, cybercrime or hacker history, archival recovery, web archiving, digital preservation, or security-relevant historical research.
Election security	Records primarily about election technology, voting systems, ballot-marking devices, election infrastructure, internet voting, verifiability, election integrity, voting-system regulation, or related security and trust issues.
General AI education and prompt engineering	Records primarily about general AI literacy, LLM education, prompt engineering, AI courses, model usage guidance, AI training resources, or non-security AI learning material.
General technology productivity and non-security applications	Records primarily about general technology, productivity, business, health, education, statistics, software preservation, or other non-security or weakly security-adjacent content that does not fit a more specific AI or security topic.
Hardware RF and physical security	Records primarily about hardware hacking, RF and wireless experimentation, physical security, badge making, maker culture, covert entry, radio systems, SDR, or human and physical-layer security topics.
Professional development workforce and hiring	Records primarily about professional development, hiring, interviews, workforce development, mentoring, career growth, burnout, cognitive resilience, education access, or security and technology workforce topics.
Security education community and conference operations	Records primarily about security education, training, community events, conference operations, conference culture, CTFs, event programming, community media, opening remarks, or non-research conference content.
Threat intelligence and adversary tracking	Records primarily about threat intelligence, adversary tracking, attribution, geopolitical cyber activity, hacktivist or criminal group disruption, OSINT investigations, campaign analysis, or actor-focused reporting.
Evasion, bypass, and detection avoidance	Records primarily about techniques, systems, or defenses involving evasion of detection, moderation, classifiers, security controls, identity checks, EDR, SOC workflows, AI or LLM guardrails, facial recognition, malware classifiers, or other defensive mechanisms, including evading, bypassing, fooling, obfuscation, and anti-detection behavior.
